Bitcoin,https://github.com/bitcoin,https://github.com/bitcoin/bitcoin,bitcoin/bitcoin,bitcoin.csv,-r
Ethereum,https://github.com/ethereum,https://github.com/ethereum/go-ethereum,ethereum/go-ethereum,ethereum.csv,-r
Bitcoin Cash,https://github.com/zquestz,https://github.com/zquestz/bitcoincash,zquestz/bitcoincash,bitcoin_cash.csv,-r
Ripple,https://github.com/ripple,https://github.com/ripple/rippled,ripple/rippled,ripple.csv,-r
Litecoin,https://github.com/litecoin-project,https://github.com/litecoin-project/litecoin,litecoin-project/litecoin,litecoin.csv,-u
Dash,https://github.com/dashpay,https://github.com/dashpay/dash,dashpay/dash,dash.csv,-u
NEO,https://github.com/neo-project,https://github.com/neo-project/neo,neo-project/neo,neo.csv,-r
NEM,https://github.com/NemProject,https://github.com/NemProject/nem.core,NemProject/nem.core,nem.csv,-r
Monero,https://github.com/monero-project,https://github.com/monero-project/monero,monero-project/monero,monero.csv,-r
Ethereum Classic,https://github.com/ethereumproject,https://github.com/ethereumproject/go-ethereum,ethereumproject/go-ethereum,ethereum_classic.csv,-r
IOTA,https://github.com/iotaledger,https://github.com/iotaledger/iota.lib.js,iotaledger/iota.lib.js,iota.csv,-r
Qtum,https://github.com/qtumproject,https://github.com/qtumproject/qtum,qtumproject/qtum,qtum.csv,-r
OmiseGO,https://github.com/omise,https://github.com/omise/omise-go,omise/omise-go,omisego.csv,-r
Cardano,https://github.com/input-output-hk,https://github.com/input-output-hk/cardano-sl,input-output-hk/cardano-sl,cardano.csv,-r
Lisk,https://github.com/LiskHQ,https://github.com/LiskHQ/lisk,LiskHQ/lisk,lisk.csv,-r
EOS,https://github.com/EOSIO,https://github.com/EOSIO/eos,EOSIO/eos,eos.csv,-r
Bitcoin Gold,https://github.com/BTCGPU,https://github.com/BTCGPU/BTCGPU,BTCGPU/BTCGPU,bitcoin_gold.csv,-r
Stellar,https://github.com/stellar,https://github.com/stellar/stellar-core,stellar/stellar-core,stellar.csv,-r
BitConnect,https://github.com/bitconnectcoin,https://github.com/bitconnectcoin/bitconnectcoin,bitconnectcoin/bitconnectcoin,bitconnect.csv,-r
TRON,https://github.com/tronprotocol,https://github.com/tronprotocol/java-tron,tronprotocol/java-tron,tron.csv,-r
Verge,https://github.com/vergecurrency,https://github.com/vergecurrency/VERGE,vergecurrency/VERGE,verge.csv,-r
Zcash,https://github.com/zcash,https://github.com/zcash/zcash,zcash/zcash,zcash.csv,-r
ICON,https://github.com/theloopkr,https://github.com/theloopkr/loopchain,theloopkr/loopchain,icon.csv,-r
OmiseGO,https://github.com/omise,https://github.com/omise/omise-go,omise/omise-go,omisego.csv,-r
BitShares,https://github.com/bitshares,https://github.com/bitshares/bitshares-core,bitshares/bitshares-core,bitshares.csv,-r
Populous,https://github.com/bitpopulous,https://github.com/bitpopulous/Populous-smart-contracts,bitpopulous/Populous-smart-contracts,populous.csv,-r
Stratis,https://github.com/stratisproject,https://github.com/stratisproject/StratisBitcoinFullNode,stratisproject/StratisBitcoinFullNode,stratis.csv,-r
Waves,https://github.com/wavesplatform,https://github.com/wavesplatform/WavesGUI,wavesplatform/WavesGUI,waves.csv,-r
Hshare,https://github.com/HcashOrg,https://github.com/HcashOrg/Hshare,HcashOrg/Hshare,hshare.csv,-r
RaiBlocks,https://github.com/clemahieu,https://github.com/clemahieu/raiblocks,clemahieu/raiblocks,raiblocks.csv,-r
Bytecoin,https://github.com/amjuarez,https://github.com/amjuarez/bytecoin,amjuarez/bytecoin,bytecoin.csv,-r
Komodo,https://github.com/SuperNETorg,https://github.com/SuperNETorg/komodo,SuperNETorg/komodo,komodo.csv,-r
Dogecoin,https://github.com/dogecoin,https://github.com/dogecoin/dogecoin,dogecoin/dogecoin,dogecoin.csv,-r
Augur,https://github.com/AugurProject,https://github.com/AugurProject/augur-core,AugurProject/augur-core,augur.csv,-r
Siacoin,https://github.com/NebulousLabs,https://github.com/NebulousLabs/Sia,NebulousLabs/Sia,siacoin.csv,-r
Steem,https://github.com/steemit,https://github.com/steemit/steem,steemit/steem,steem.csv,-r
Ark,https://github.com/ArkEcosystem,https://github.com/ArkEcosystem/ark-node,ArkEcosystem/ark-node,ark.csv,-r
Veritaseum,https://github.com/RFVenter,https://github.com/RFVenter/Veritaseum,RFVenter/Veritaseum,veritaseum.csv,-r
PIVX,https://github.com/PIVX-Project,https://github.com/PIVX-Project/PIVX/,PIVX-Project/PIVX/,pivx.csv,-r
MonaCoin,https://github.com/monacoinproject,https://github.com/monacoinproject/monacoin,monacoinproject/monacoin,monacoin.csv,-r
Decred,https://github.com/decred,https://github.com/decred/dcrd,decred/dcrd,decred.csv,-r
DigiByte,https://github.com/digibyte,https://github.com/digibyte/digibyte,digibyte/digibyte,digibyte.csv,-r
Golem,https://github.com/golemfactory,https://github.com/golemfactory/golem,golemfactory/golem,golem.csv,-r
ZCoin,https://github.com/zcoinofficial,https://github.com/zcoinofficial/zcoin,zcoinofficial/zcoin,zcoin.csv,-r
Status,https://github.com/status-im,https://github.com/status-im/status-react,status-im/status-react,status.csv,-r
Byteball Bytes,https://github.com/byteball,https://github.com/byteball/byteball,byteball/byteball,byteball_bytes.csv,-r
Electroneum,https://github.com/electroneum,https://github.com/electroneum/electroneum,electroneum/electroneum,electroneum.csv,-r
MaidSafeCoin,https://github.com/maidsafe,https://github.com/maidsafe/routing,maidsafe/routing,maidsafecoin.csv,-r
ReddCoin,https://github.com/reddcoin-project,https://github.com/reddcoin-project/reddcoin,reddcoin-project/reddcoin,reddcoin.csv,-r
