Date,URL,Repository name,Commits,Forks,Watchers,Stars
2017-11-10,https://api.github.com/repos/bitcoin/bitcoin,bitcoin,8169,18772,11238,18772
2017-11-11,https://api.github.com/repos/bitcoin/bitcoin,bitcoin,8174,18915,11288,18915
2017-11-12,https://api.github.com/repos/bitcoin/bitcoin,bitcoin,8174,18921,11289,18921
