Date,URL,Repository name,Commits,Forks,Watchers,Stars
2017-11-10,https://api.github.com/repos/bitshares/bitshares1-core,bitshares1-core,0,195,180,195
2017-11-11,https://api.github.com/repos/bitshares/bitshares1-core,bitshares1-core,0,196,180,196
2017-11-12,https://api.github.com/repos/bitshares/bitshares1-core,bitshares1-core,5924,196,180,196
